,0
0,1742
1,102
2,10000
3,10000
4,103
5,258
6,101
7,236
8,104
9,10000
10,104
11,100
12,183
13,100
14,10000
15,10000
16,145
17,10000
18,153
19,101
20,467
21,6304
22,4234
23,137
24,10000
25,103
26,168
27,10000
28,100
29,109
30,10000
31,10000
32,169
33,10000
34,10000
35,187
36,10000
37,415
38,102
39,147
40,10000
41,10000
42,10000
43,10000
44,334
45,10000
46,100
47,10000
48,101
49,10000
50,10000
51,273
52,145
53,101
54,10000
55,106
56,10000
57,1428
58,10000
59,10000
60,102
61,10000
62,10000
63,10000
64,10000
65,263
66,1337
67,10000
68,107
69,10000
70,146
71,100
72,134
73,10000
74,165
75,10000
76,396
77,10000
78,10000
79,10000
80,10000
81,231
82,10000
83,139
84,646
85,10000
86,10000
87,132
88,349
89,135
90,114
91,10000
92,100
93,10000
94,300
95,113
96,10000
97,104
98,10000
99,10000
100,10000
101,100
102,551
103,10000
104,10000
105,10000
106,115
107,128
108,10000
109,515
110,119
111,10000
112,10000
113,101
114,10000
115,10000
116,103
117,100
118,10000
119,10000
120,160
121,10000
122,10000
123,111
124,10000
125,10000
126,100
127,846
128,10000
129,10000
130,10000
131,1127
132,10000
133,10000
134,103
135,120
136,236
137,10000
138,107
139,279
140,101
141,127
142,321
143,5663
144,1327
145,10000
146,3419
147,100
148,180
149,108
150,9691
151,146
152,100
153,10000
154,10000
155,697
156,10000
157,10000
158,10000
159,560
160,267
161,10000
162,214
163,10000
164,100
165,10000
166,109
167,135
168,10000
169,100
170,10000
171,10000
172,103
173,126
174,10000
175,113
176,10000
177,10000
178,10000
179,3684
180,10000
181,10000
182,110
183,243
184,10000
185,100
186,10000
187,1792
188,1731
189,10000
190,125
191,2024
192,10000
193,303
194,152
195,165
196,10000
197,10000
198,10000
199,10000
200,10000
201,115
202,10000
203,149
204,132
205,211
206,419
207,1777
208,10000
209,10000
210,112
211,1514
212,10000
213,10000
214,186
215,6403
216,3174
217,127
218,247
219,107
220,123
221,10000
222,121
223,175
224,116
225,138
226,104
227,295
228,111
229,10000
230,10000
231,10000
232,10000
233,665
234,10000
235,10000
236,102
237,106
238,103
239,512
240,268
241,10000
242,153
243,10000
244,10000
245,149
246,10000
247,10000
248,111
249,10000
250,10000
251,537
252,10000
253,186
254,10000
255,159
256,10000
257,10000
258,385
259,236
260,469
261,10000
262,111
263,133
264,5391
265,10000
266,10000
267,616
268,162
269,129
270,10000
271,105
272,288
273,10000
274,134
275,10000
276,242
277,106
278,10000
279,103
280,10000
281,10000
282,132
283,1440
284,100
285,10000
286,1539
287,426
288,105
289,10000
290,110
291,10000
292,137
293,10000
294,10000
295,10000
296,325
297,10000
298,351
299,122
300,10000
301,471
302,107
303,865
304,6899
305,10000
306,10000
307,129
308,183
309,10000
310,131
311,2065
312,104
313,10000
314,10000
315,100
316,10000
317,1532
318,100
319,799
320,10000
321,10000
322,318
323,111
324,107
325,105
326,202
327,10000
328,185
329,10000
330,10000
331,1141
332,10000
333,10000
334,10000
335,791
336,10000
337,10000
338,10000
339,119
340,10000
341,10000
342,106
343,10000
344,10000
345,174
346,4626
347,104
348,131
349,2411
350,1844
351,123
352,107
353,474
354,1662
355,5617
356,216
357,166
358,308
359,182
360,10000
361,10000
362,164
363,10000
364,124
365,10000
366,103
367,10000
368,10000
369,145
370,10000
371,127
372,116
373,329
374,109
375,108
376,176
377,120
378,586
379,812
380,10000
381,123
382,1087
383,100
384,10000
385,119
386,4817
387,159
388,1096
389,848
390,10000
391,10000
392,10000
393,112
394,10000
395,631
396,361
397,5984
398,1647
399,4763
400,10000
401,114
402,10000
403,207
404,10000
405,10000
406,361
407,10000
408,893
409,10000
410,10000
411,10000
412,148
413,185
414,247
415,10000
416,10000
417,10000
418,10000
419,10000
420,155
421,10000
422,10000
423,10000
424,694
425,102
426,177
427,637
428,10000
429,156
430,171
431,100
432,10000
433,10000
434,105
435,10000
436,843
437,10000
438,108
439,10000
440,331
441,10000
442,100
443,161
444,100
445,10000
446,10000
447,169
448,151
449,10000
450,10000
451,10000
452,10000
453,104
454,105
455,10000
456,106
457,411
458,291
459,10000
460,100
461,226
462,10000
463,10000
464,10000
465,124
466,10000
467,10000
468,253
469,10000
470,157
471,10000
472,10000
473,10000
474,3803
475,147
476,10000
477,10000
478,10000
479,103
480,10000
481,159
482,176
483,213
484,10000
485,176
486,100
487,101
488,10000
489,10000
490,10000
491,147
492,3008
493,10000
494,10000
495,107
496,414
497,10000
498,10000
499,190
500,10000
501,10000
502,109
503,8557
504,115
505,9744
506,10000
507,161
508,360
509,10000
510,10000
511,128
512,10000
513,10000
514,10000
515,10000
516,237
517,10000
518,10000
519,532
520,10000
521,235
522,10000
523,10000
524,281
525,118
526,280
527,10000
528,697
529,10000
530,184
531,10000
532,10000
533,104
534,113
535,10000
536,10000
537,10000
538,10000
539,103
540,10000
541,104
542,10000
543,117
544,104
545,199
546,101
547,1973
548,197
549,10000
550,10000
551,100
552,158
553,10000
554,10000
555,3540
556,10000
557,10000
558,145
559,10000
560,7840
561,101
562,100
563,104
564,10000
565,110
566,274
567,10000
568,100
569,10000
570,3161
571,100
572,121
573,10000
574,10000
575,10000
576,10000
577,850
578,111
579,10000
580,10000
581,101
582,10000
583,10000
584,116
585,265
586,102
587,512
588,102
589,10000
590,151
591,10000
592,10000
593,1684
594,10000
595,10000
596,173
597,10000
598,335
599,100
600,10000
601,1343
602,164
603,10000
604,10000
605,10000
606,113
607,10000
608,10000
609,112
610,1009
611,107
612,10000
613,101
614,143
615,10000
616,103
617,10000
618,10000
619,10000
620,100
621,101
622,10000
623,10000
624,10000
625,10000
626,421
627,10000
628,10000
629,10000
630,233
631,10000
632,4408
633,100
634,107
635,10000
636,155
637,117
638,10000
639,10000
640,113
641,100
642,138
643,10000
644,206
645,102
646,10000
647,10000
648,10000
649,10000
650,323
651,103
652,326
653,148
654,10000
655,177
656,10000
657,100
658,2058
659,10000
660,101
661,10000
662,540
663,353
664,10000
665,755
666,203
667,10000
668,990
669,10000
670,217
671,10000
672,10000
673,1715
674,297
675,10000
676,10000
677,10000
678,10000
679,1677
680,10000
681,10000
682,3389
683,10000
684,151
685,10000
686,3218
687,10000
688,5666
689,10000
690,115
691,510
692,282
693,100
694,110
695,10000
696,10000
697,159
698,221
699,10000
700,10000
701,10000
702,221
703,1488
704,10000
705,184
706,10000
707,104
708,10000
709,230
710,10000
711,897
712,100
713,10000
714,100
715,10000
716,10000
717,10000
718,10000
719,10000
720,970
721,10000
722,142
723,10000
724,151
725,10000
726,10000
727,111
728,1370
729,10000
730,101
731,150
732,102
733,10000
734,10000
735,438
736,10000
737,112
738,100
739,10000
740,380
741,128
742,10000
743,10000
744,10000
745,799
746,136
747,10000
748,10000
749,10000
750,300
751,10000
752,10000
753,1450
754,100
755,10000
756,135
757,136
758,345
759,8153
760,100
761,10000
762,10000
763,6818
764,10000
765,10000
766,131
767,10000
768,100
769,136
770,10000
771,134
772,10000
773,754
774,10000
775,10000
776,151
777,10000
778,102
779,296
780,120
781,100
782,215
783,10000
784,8704
785,102
786,10000
787,10000
788,129
789,8123
790,10000
791,434
792,10000
793,192
794,10000
795,4001
796,10000
797,301
798,279
799,478
800,10000
801,10000
802,112
803,3270
804,131
805,1700
806,10000
807,139
808,10000
809,113
810,10000
811,1329
812,3630
813,10000
814,102
815,10000
816,10000
817,118
818,231
819,258
820,10000
821,10000
822,5263
823,135
824,10000
825,10000
826,109
827,137
828,203
829,326
830,10000
831,925
832,109
833,136
834,10000
835,186
836,1748
837,10000
838,237
839,10000
840,204
841,10000
842,10000
843,10000
844,10000
845,302
846,121
847,116
848,100
849,110
850,166
851,10000
852,10000
853,10000
854,157
855,10000
856,402
857,100
858,130
859,10000
860,131
861,151
862,7035
863,160
864,105
865,316
866,10000
867,10000
868,102
869,459
870,133
871,10000
872,100
873,107
874,109
875,250
876,110
877,112
878,104
879,108
880,111
881,102
882,10000
883,10000
884,109
885,10000
886,10000
887,10000
888,10000
889,314
890,10000
891,775
892,396
893,116
894,10000
895,10000
896,100
897,10000
898,101
899,100
900,100
901,10000
902,10000
903,10000
904,10000
905,134
906,10000
907,136
908,10000
909,146
910,157
911,10000
912,10000
913,150
914,344
915,100
916,2983
917,10000
918,313
919,10000
920,10000
921,125
922,117
923,110
924,101
925,10000
926,121
927,100
928,151
929,10000
930,108
931,10000
932,106
933,107
934,10000
935,113
936,10000
937,10000
938,10000
939,10000
940,118
941,217
942,110
943,10000
944,3107
945,10000
946,124
947,100
948,545
949,10000
950,322
951,1734
952,136
953,106
954,10000
955,10000
956,105
957,155
958,109
959,118
960,247
961,132
962,1241
963,120
964,1980
965,10000
966,10000
967,136
968,113
969,10000
970,2024
971,303
972,671
973,120
974,10000
975,10000
976,10000
977,273
978,10000
979,103
980,474
981,103
982,10000
983,148
984,10000
985,10000
986,269
987,10000
988,10000
989,103
990,163
991,1256
992,10000
993,100
994,10000
995,102
996,679
997,10000
998,121
999,10000
