,0
0,244
1,102
2,414
3,975
4,103
5,217
6,101
7,266
8,104
9,722
10,104
11,100
12,169
13,100
14,648
15,961
16,154
17,1257
18,148
19,101
20,127
21,668
22,976
23,121
24,461
25,103
26,166
27,188
28,100
29,109
30,571
31,634
32,163
33,196
34,194
35,152
36,179
37,2810
38,102
39,147
40,166
41,208
42,302
43,766
44,522
45,166
46,100
47,687
48,101
49,818
50,1127
51,256
52,143
53,101
54,571
55,104
56,1115
57,225
58,1151
59,10000
60,102
61,896
62,701
63,314
64,429
65,851
66,505
67,754
68,107
69,826
70,144
71,100
72,127
73,279
74,168
75,1314
76,424
77,854
78,1054
79,1172
80,560
81,215
82,299
83,137
84,477
85,536
86,239
87,125
88,403
89,136
90,114
91,204
92,100
93,238
94,209
95,113
96,405
97,104
98,653
99,300
100,292
101,100
102,643
103,838
104,399
105,1593
106,115
107,129
108,693
109,508
110,119
111,585
112,319
113,101
114,1549
115,1382
116,103
117,100
118,251
119,854
120,158
121,467
122,575
123,111
124,953
125,494
126,100
127,168
128,425
129,873
130,1044
131,421
132,2468
133,486
134,103
135,120
136,157
137,885
138,107
139,256
140,101
141,126
142,328
143,1523
144,226
145,1048
146,489
147,100
148,192
149,108
150,659
151,145
152,100
153,608
154,754
155,1240
156,1211
157,472
158,772
159,441
160,249
161,647
162,222
163,1682
164,100
165,466
166,109
167,135
168,10000
169,100
170,135
171,425
172,103
173,123
174,371
175,113
176,499
177,2284
178,1582
179,447
180,1089
181,404
182,110
183,225
184,948
185,100
186,1033
187,1320
188,829
189,286
190,128
191,643
192,1613
193,401
194,153
195,166
196,286
197,228
198,289
199,613
200,507
201,114
202,657
203,148
204,132
205,136
206,343
207,536
208,355
209,1512
210,112
211,299
212,367
213,284
214,178
215,1098
216,878
217,127
218,146
219,106
220,126
221,330
222,123
223,173
224,119
225,139
226,104
227,294
228,110
229,664
230,1303
231,426
232,906
233,474
234,840
235,987
236,102
237,106
238,103
239,246
240,270
241,721
242,148
243,371
244,557
245,145
246,531
247,276
248,111
249,103
250,157
251,290
252,878
253,138
254,1337
255,160
256,1860
257,643
258,149
259,235
260,301
261,453
262,111
263,134
264,364
265,1334
266,873
267,501
268,159
269,131
270,480
271,105
272,196
273,1514
274,131
275,524
276,857
277,106
278,203
279,103
280,743
281,647
282,132
283,1018
284,100
285,234
286,1311
287,382
288,104
289,432
290,110
291,379
292,140
293,624
294,1354
295,823
296,246
297,429
