,0
0,809
1,693
2,797
3,918
4,1212
5,911
6,770
7,761
8,868
9,1118
10,720
11,1524
12,1134
13,725
14,1431
15,956
16,768
17,1053
18,875
19,639
20,836
21,615
22,725
23,863
24,970
25,824
26,995
27,935
28,719
29,2003
30,727
31,890
32,740
33,630
34,887
35,1362
36,713
37,895
38,1025
39,891
40,1356
41,1419
42,682
43,822
44,1010
45,1428
46,1181
47,1307
48,10000
49,940
50,1742
51,1059
52,1471
53,1096
54,651
55,676
56,725
57,775
58,747
59,1795
60,669
61,913
62,2207
63,721
64,836
65,1620
66,1049
67,761
68,710
69,859
70,797
71,1356
72,3825
73,1001
74,1725
75,885
76,1661
77,650
78,1844
79,1537
80,2621
81,745
82,1368
83,1234
84,1188
85,1458
86,1687
87,3180
88,992
89,900
90,925
91,1237
92,1682
93,782
94,975
95,979
96,646
97,816
98,1111
99,1444
100,1271
101,631
102,861
103,2422
104,764
105,755
106,917
107,802
108,827
109,766
110,1342
111,2163
112,838
113,715
114,767
115,904
116,923
117,926
118,1690
119,1088
120,760
121,1035
122,899
123,978
124,938
125,744
126,928
127,1209
128,906
129,1172
130,1073
131,1254
132,1474
133,1576
134,744
135,1027
136,738
137,1167
138,1327
139,901
140,698
141,708
142,1826
143,1404
144,2087
145,1884
146,1342
147,666
148,1779
149,815
150,1113
151,867
152,978
153,1985
154,748
155,1177
156,719
157,1143
158,687
159,1142
160,1536
161,1024
162,905
163,740
164,765
165,1198
166,1079
167,700
168,2018
169,1004
170,698
171,1080
172,718
173,792
174,680
175,2699
176,2820
177,850
178,975
179,1513
180,903
181,1974
182,1058
183,1304
184,1366
185,1031
186,3819
187,936
188,2310
189,924
190,1384
191,671
192,797
193,1093
194,1283
195,1277
196,787
197,1327
198,804
199,1390
200,1276
201,1992
202,1182
203,795
204,655
205,797
206,1275
207,891
208,866
209,711
210,1291
211,1621
212,1311
213,2041
214,742
215,1128
216,930
217,740
218,1367
219,1264
220,655
221,1106
222,646
223,1352
224,781
225,763
226,1455
227,566
228,1096
229,2214
230,938
231,1373
232,923
233,1145
234,1059
235,2790
236,1095
237,778
238,1229
239,964
240,863
241,2297
242,1128
243,1241
244,970
245,700
246,1189
247,1046
248,654
249,647
250,2273
251,888
252,1225
253,845
254,1481
255,2952
256,1782
257,3821
258,2869
259,1721
260,1685
261,1327
262,1197
263,699
264,2116
265,1075
266,826
267,1920
268,717
269,668
270,1256
271,1196
272,2134
273,979
274,892
275,991
276,1523
277,708
278,1774
279,1252
280,808
281,2511
282,1368
283,848
284,636
285,672
286,743
287,3150
288,1143
289,958
290,932
291,2790
292,1499
293,769
294,684
295,1404
296,747
297,1018
298,1398
299,704
300,1807
301,1329
302,1069
303,1541
304,1158
305,1530
306,843
307,844
308,1189
309,1182
310,2861
311,752
312,880
313,1132
314,1132
315,1407
316,1156
317,1168
318,795
319,2223
320,803
321,1159
322,751
323,1429
324,669
325,1758
326,1814
327,725
328,1007
329,763
330,717
331,1031
332,811
333,712
334,3188
335,903
336,1107
337,1327
338,1134
339,895
340,782
341,658
342,726
343,719
344,914
345,1553
346,1048
347,714
348,851
349,973
350,985
351,918
352,1807
353,1168
354,1283
355,1233
356,1832
357,1106
358,1058
359,662
360,769
361,1151
362,917
363,935
364,808
365,623
366,961
367,1352
368,1148
369,806
370,1523
371,1167
372,792
373,922
374,1095
375,1557
376,1827
377,2000
378,1145
379,1213
380,810
381,857
382,2220
383,888
384,1624
385,658
386,1058
387,863
388,824
389,2901
390,751
391,1142
392,705
393,1353
394,856
395,1139
396,1006
397,839
398,1031
399,734
400,654
401,738
402,1127
403,898
404,2487
405,993
406,826
407,842
408,829
409,1033
410,815
411,892
412,1246
413,814
414,677
415,753
416,1486
417,1234
418,2538
419,1137
420,880
421,1395
422,1078
423,900
424,673
425,702
426,1262
427,826
428,2616
429,998
430,744
431,1446
432,1220
433,801
434,1471
435,1073
436,1580
437,2093
438,1267
439,820
440,997
441,1148
442,802
443,1700
444,1340
445,802
446,1111
447,1110
448,731
449,1168
450,792
451,807
452,649
453,1069
454,1325
455,712
456,1736
457,1223
458,1235
459,845
460,1341
461,947
462,735
463,932
464,2041
465,750
466,1726
467,938
468,749
469,1941
470,832
471,1036
472,1152
473,1712
474,1119
475,948
476,892
477,716
478,1627
479,1040
480,812
481,1255
482,1514
483,1776
484,1378
485,868
486,601
487,1082
488,1320
489,2085
490,900
491,1198
492,862
493,894
494,1173
495,1069
496,799
497,1364
498,1354
499,845
500,3339
501,703
502,1081
503,1557
504,1004
505,840
506,782
507,1435
508,750
509,1630
510,1753
511,702
512,694
513,1185
514,942
515,688
516,1131
517,1049
518,792
519,1049
520,1500
521,2493
522,2516
523,1092
524,827
525,2208
526,1126
527,705
528,1072
529,932
530,732
531,1289
532,1234
533,1110
534,1296
535,909
536,3941
537,1876
538,901
539,1085
540,914
541,1046
542,778
543,1039
544,923
545,1059
546,942
547,1218
548,1416
549,1727
550,1130
551,839
552,1262
553,777
554,1198
555,1078
556,1350
557,1215
558,1007
559,864
560,883
561,931
562,1213
563,1268
564,833
565,867
566,1081
567,1071
568,2139
569,1319
570,939
571,857
572,1369
573,635
574,1233
575,1509
576,1265
577,990
578,1115
579,800
580,843
581,937
582,1349
583,1337
584,1966
585,1732
586,2113
587,1314
588,1133
589,1235
590,1387
591,1099
592,999
593,927
594,1232
595,1597
596,1092
597,1050
598,1352
599,2067
600,830
601,990
602,2107
603,770
604,898
605,1021
606,745
607,1474
608,1049
609,1096
610,856
611,1005
612,954
613,1811
614,2766
615,1065
616,810
617,669
618,959
619,2121
620,1001
621,1152
622,1021
623,717
624,1745
625,714
626,1016
627,1054
628,928
629,697
630,783
631,850
632,1111
633,661
634,2688
635,1371
636,1340
637,821
638,2510
639,1059
640,836
641,1484
642,2227
643,813
644,1989
645,1269
646,900
647,867
648,1770
649,1230
650,789
651,1266
652,852
653,2087
654,2347
655,1177
656,1156
657,1591
658,905
659,688
660,725
661,811
662,1173
663,914
664,1353
665,906
666,1185
667,727
668,2347
669,748
670,918
671,1390
672,1681
673,893
674,1528
675,887
676,797
677,1125
678,953
679,818
680,909
681,657
682,2325
683,1119
684,1206
685,1866
686,2374
687,1470
688,1078
689,2210
690,1328
691,721
692,810
693,825
694,860
695,1307
696,1611
697,744
698,934
699,705
700,1056
701,1021
702,736
703,1295
704,988
705,879
706,1025
707,1283
708,1570
709,725
710,878
711,1596
712,1855
713,1023
714,790
715,1051
716,1389
717,1272
718,738
719,1441
720,902
721,734
722,979
723,1644
724,1172
725,679
726,883
727,900
728,2320
729,887
730,1881
731,774
732,969
733,981
734,754
735,583
736,955
737,1698
738,676
739,1078
740,1865
741,869
742,1382
743,961
744,1087
745,908
746,821
747,924
748,905
