,0
0,10000
1,4277
2,10000
3,10000
4,8100
5,180
6,8552
7,8804
8,10000
9,10000
10,10000
11,1880
12,401
13,10000
14,10000
15,10000
16,149
17,10000
18,10000
19,9777
20,4077
21,7235
22,4295
23,10000
24,10000
25,5354
26,10000
27,10000
28,10000
29,10000
30,10000
31,10000
32,10000
33,10000
34,10000
35,199
36,10000
37,10000
38,10000
39,6884
40,10000
41,10000
42,10000
43,10000
44,10000
45,10000
46,10000
47,10000
48,10000
49,10000
50,10000
51,517
52,10000
53,10000
54,10000
55,10000
56,1540
57,1438
58,10000
59,883
60,10000
61,5279
62,10000
63,10000
64,10000
65,879
66,10000
67,10000
68,963
69,10000
70,10000
71,4781
72,1193
73,10000
74,10000
75,1739
76,384
77,10000
78,10000
79,10000
80,10000
81,10000
82,623
83,1763
84,858
85,10000
86,10000
87,10000
88,10000
89,10000
90,10000
91,10000
92,10000
93,10000
94,10000
95,1979
96,10000
97,904
98,10000
99,6872
100,10000
101,10000
102,10000
103,10000
104,10000
105,10000
106,10000
107,10000
108,10000
109,10000
110,10000
111,10000
112,10000
113,10000
114,10000
115,10000
116,10000
117,10000
118,10000
119,10000
120,3763
121,10000
122,10000
123,10000
124,10000
125,1058
126,10000
127,10000
128,10000
129,10000
130,10000
131,10000
132,10000
133,10000
134,10000
135,388
136,1357
137,10000
138,2961
139,4034
140,1365
141,10000
142,10000
143,5663
144,796
145,10000
146,3456
147,10000
148,10000
149,10000
150,9692
151,10000
152,10000
153,10000
154,5435
155,10000
156,10000
157,10000
158,10000
159,1180
160,10000
161,10000
162,10000
163,10000
164,10000
165,10000
166,766
167,580
168,1328
169,10000
170,810
171,10000
172,10000
173,10000
174,10000
175,10000
176,10000
177,10000
178,10000
179,4092
180,10000
181,10000
182,10000
183,10000
184,10000
185,10000
186,10000
187,2151
188,10000
189,6367
190,10000
191,1779
192,10000
193,10000
194,1014
195,972
196,10000
197,10000
198,10000
199,10000
200,10000
201,10000
202,10000
203,3544
204,10000
205,314
206,2494
207,1769
208,10000
209,10000
210,430
211,2451
212,394
213,4015
214,10000
215,9650
216,10000
217,2350
218,4118
219,10000
220,316
221,10000
222,10000
223,10000
224,10000
225,10000
226,1907
227,10000
228,10000
229,10000
230,10000
231,10000
232,10000
233,10000
234,10000
235,10000
236,10000
237,10000
238,10000
239,10000
240,377
241,10000
242,1220
243,10000
244,10000
245,10000
246,10000
247,10000
248,10000
249,10000
250,10000
251,259
252,10000
253,10000
254,10000
255,10000
256,10000
257,10000
258,10000
259,10000
260,10000
261,10000
262,10000
263,4601
264,10000
265,10000
266,10000
267,671
268,10000
269,10000
270,10000
271,598
272,10000
273,10000
274,10000
275,10000
276,10000
277,10000
278,10000
279,10000
280,10000
281,3481
282,10000
283,10000
284,5890
