,0
0,342
1,140
2,244
3,1000
4,402
5,1000
6,1000
7,169
8,226
9,1000
10,175
11,247
12,194
13,250
14,286
15,1000
16,130
17,1000
18,256
19,316
20,1000
21,395
22,1000
23,250
24,500
25,282
26,157
27,489
28,205
29,114
30,269
31,173
32,229
33,112
34,210
35,102
36,230
37,347
38,185
39,128
40,125
41,121
42,197
43,143
44,1000
45,244
46,174
47,227
48,244
49,199
50,160
51,102
52,470
53,385
54,1000
55,213
56,175
57,237
58,1000
59,115
60,1000
61,213
62,1000
63,273
64,1000
65,415
66,139
67,1000
68,571
69,204
70,171
71,254
72,136
73,1000
74,255
75,1000
76,177
77,1000
78,207
79,193
80,187
81,301
82,1000
83,169
84,505
85,307
86,124
87,1000
88,1000
89,319
90,176
91,481
92,186
93,308
94,272
95,657
96,1000
97,1000
98,333
99,1000
100,186
101,288
102,271
103,226
104,100
105,1000
106,436
107,263
108,259
109,219
110,282
111,413
112,212
113,1000
114,130
115,256
116,253
117,225
118,175
119,342
120,328
121,109
122,234
123,299
124,148
125,261
126,569
127,433
128,1000
129,1000
130,228
131,503
132,262
133,1000
134,131
135,165
136,199
137,608
138,140
139,232
140,194
141,1000
142,1000
143,329
144,167
145,1000
146,493
147,238
148,339
149,1000
150,1000
151,1000
152,236
153,167
154,123
155,244
156,525
157,203
158,157
159,122
160,261
161,226
162,366
163,281
164,187
165,182
166,132
167,498
168,1000
169,1000
170,177
171,259
172,1000
173,125
174,1000
175,434
176,146
177,136
178,1000
179,843
180,353
181,497
182,117
183,140
184,1000
185,1000
186,861
187,126
188,1000
189,180
190,135
191,286
192,1000
193,271
194,139
195,1000
196,194
197,878
198,224
199,134
200,1000
201,207
202,1000
203,271
204,333
205,151
206,1000
207,191
208,1000
209,160
210,168
211,218
212,172
213,173
214,1000
215,148
216,1000
217,283
218,192
219,185
220,1000
221,169
222,202
223,149
224,1000
225,289
226,1000
227,274
228,266
229,322
230,328
231,1000
232,147
233,189
234,352
235,279
236,282
237,187
238,272
239,158
240,301
241,196
242,1000
243,281
244,698
245,103
246,111
247,121
248,306
249,109
250,1000
251,244
252,337
253,1000
254,408
255,130
256,1000
257,164
258,225
259,198
260,866
261,203
262,259
263,199
264,167
265,1000
266,282
267,486
268,760
269,389
270,268
271,1000
272,199
273,303
274,133
275,265
276,155
277,186
278,263
279,1000
280,220
281,1000
282,1000
283,222
284,964
285,1000
286,208
287,1000
288,222
289,297
290,1000
291,107
292,359
293,456
294,1000
295,207
296,1000
297,209
298,218
299,282
300,273
301,167
302,199
303,238
304,376
305,1000
306,244
307,1000
308,1000
309,1000
310,179
311,114
312,278
313,317
314,1000
315,1000
316,161
317,206
318,1000
319,1000
320,1000
321,124
322,115
323,118
324,143
325,1000
326,276
327,142
328,201
329,396
330,293
331,1000
332,150
333,127
334,187
335,1000
336,1000
337,357
338,1000
339,139
340,1000
341,248
342,380
343,1000
344,147
345,136
346,1000
347,230
348,1000
349,139
350,352
351,1000
352,231
353,1000
354,710
355,165
356,125
357,189
358,244
359,131
360,164
361,205
362,1000
363,227
364,194
365,450
366,309
367,155
368,310
369,233
370,515
371,110
372,153
373,139
374,234
375,1000
376,354
377,144
378,1000
379,188
380,572
381,328
382,153
383,352
384,189
385,144
386,181
387,1000
388,1000
389,348
390,111
391,244
392,1000
393,213
394,1000
395,109
396,252
397,148
398,1000
399,149
400,229
401,225
402,1000
403,124
404,1000
405,330
406,1000
407,1000
408,108
409,231
410,1000
411,1000
412,174
413,1000
414,220
415,1000
416,427
417,231
418,1000
419,1000
420,282
421,167
422,304
423,236
424,1000
425,144
426,496
427,196
428,349
429,153
430,217
431,299
432,149
433,348
434,212
435,782
436,182
437,133
438,258
439,125
440,1000
441,294
442,231
443,106
444,274
445,147
446,311
447,1000
448,514
449,216
450,1000
451,198
452,397
453,393
454,166
455,260
456,911
457,1000
458,203
459,151
460,152
461,376
462,529
463,208
464,221
465,1000
466,166
467,1000
468,1000
469,282
470,532
471,207
472,105
473,275
474,371
475,1000
476,153
477,381
478,388
479,1000
480,629
481,1000
482,101
483,1000
484,197
485,1000
486,329
487,1000
488,356
489,1000
490,179
491,197
492,255
493,196
494,262
495,276
496,233
497,215
498,136
499,188
500,1000
501,191
502,279
503,326
504,1000
505,1000
506,380
507,1000
508,189
509,118
510,1000
511,1000
512,139
513,367
514,168
515,172
516,237
517,281
518,1000
519,111
520,119
521,178
522,249
523,1000
524,1000
525,124
526,1000
527,338
528,156
529,373
530,183
531,256
532,223
533,190
534,205
535,262
536,245
537,103
538,1000
539,531
540,225
541,235
542,245
543,416
544,452
545,490
546,1000
547,274
548,274
549,1000
550,1000
551,1000
552,179
553,446
554,303
555,138
556,221
557,157
558,129
559,381
560,275
561,269
562,1000
563,602
564,289
565,1000
566,247
567,178
568,137
569,189
570,114
571,105
572,250
573,104
574,1000
575,230
576,483
577,1000
578,177
579,1000
580,121
581,136
582,313
583,1000
584,368
585,337
586,118
587,1000
588,133
589,148
590,158
591,194
592,374
593,288
594,1000
595,625
596,172
597,371
598,140
599,254
600,178
