,0
0,349
1,130
2,245
3,137
4,672
5,318
6,657
7,175
8,227
9,740
10,239
11,232
12,194
13,232
14,322
15,438
16,139
17,807
18,249
19,322
20,241
21,226
22,399
23,262
24,380
25,700
26,557
27,1000
28,207
29,107
30,266
31,172
32,235
33,112
34,223
35,131
36,231
37,348
38,501
39,167
40,124
41,155
42,198
43,169
44,349
45,261
46,183
47,228
48,341
49,260
50,285
51,102
52,320
53,384
54,381
55,225
56,250
57,237
58,1000
59,115
60,895
61,225
62,362
63,228
64,205
65,324
66,186
67,316
68,214
69,211
70,188
71,287
72,136
73,610
74,250
75,787
76,186
77,419
78,207
79,168
80,196
81,506
82,334
83,207
84,725
85,333
86,129
87,1000
88,420
89,675
90,167
91,265
92,338
93,328
94,268
95,447
96,470
97,1000
98,333
99,164
100,244
101,287
102,823
103,181
104,100
105,481
106,459
107,254
108,391
109,215
110,282
111,228
112,494
113,717
114,137
115,266
116,246
117,277
118,219
119,133
120,330
121,110
122,190
123,320
124,146
125,260
126,552
127,444
128,500
129,318
130,251
131,191
132,262
133,639
134,171
135,144
136,163
137,515
138,141
139,232
140,436
141,664
142,578
143,329
144,166
145,232
146,225
147,237
148,294
149,683
150,681
151,503
152,230
153,132
154,357
155,253
156,434
157,394
158,119
159,122
160,261
161,227
162,219
163,277
164,187
165,527
166,131
167,148
168,639
169,384
170,816
171,197
172,325
173,135
174,316
175,418
176,521
177,136
178,433
179,403
180,346
181,151
182,117
183,140
184,611
185,929
186,181
187,126
188,402
189,194
190,135
191,286
192,429
193,358
194,143
195,806
196,206
197,556
198,223
199,379
200,923
201,178
202,477
203,282
204,330
205,192
206,458
207,185
208,261
209,274
210,176
211,205
212,216
213,173
214,427
215,188
216,880
217,216
218,195
219,151
220,1000
221,169
222,200
223,127
224,151
225,293
226,434
227,296
228,356
229,320
230,325
231,648
232,256
233,159
234,391
235,693
236,1000
237,202
238,269
239,158
240,795
241,213
242,252
243,162
244,529
245,103
246,123
247,123
248,303
249,109
250,276
251,763
252,337
253,200
254,180
255,134
256,370
257,171
258,256
259,685
260,213
261,199
262,170
263,199
264,536
265,1000
266,274
267,1000
268,325
269,301
270,268
271,299
272,199
273,297
274,178
275,277
276,180
277,172
278,211
279,208
280,243
281,752
282,551
283,218
284,479
285,418
286,239
287,282
288,229
289,287
290,468
291,210
292,429
293,519
294,852
295,213
296,172
297,209
298,218
299,687
300,153
301,191
302,220
303,239
304,303
305,409
306,228
307,459
308,358
309,332
310,1000
311,114
312,1000
313,384
314,421
315,329
316,162
317,207
318,805
319,506
320,358
321,123
322,142
323,118
324,173
325,320
326,319
327,133
328,210
329,396
330,400
331,1000
332,822
333,138
334,188
335,993
336,401
337,303
338,440
339,212
340,495
341,249
342,285
343,160
344,332
345,564
346,400
347,114
348,307
349,160
350,350
351,386
352,239
353,333
354,531
355,160
356,124
357,186
358,246
359,140
360,257
361,252
362,311
363,135
364,194
365,549
366,359
367,151
368,280
369,275
370,490
371,110
372,157
373,201
374,234
375,769
376,323
377,191
378,281
379,193
380,231
381,223
382,126
383,227
384,130
385,144
386,212
387,1000
388,378
389,194
390,107
391,206
392,1000
393,217
394,277
395,109
396,256
397,245
398,402
399,171
400,524
401,377
402,534
403,124
404,512
405,468
406,410
407,772
408,106
409,187
410,431
411,300
412,260
413,356
414,348
415,456
416,185
417,237
418,480
419,167
420,138
421,284
422,326
423,235
424,659
425,154
426,203
427,180
428,348
429,115
430,217
431,320
432,149
433,181
434,486
435,640
436,187
437,145
438,237
439,125
440,732
441,260
442,228
443,106
444,270
445,150
446,854
447,468
448,253
449,775
450,224
451,224
452,543
453,378
454,186
455,241
456,323
457,396
458,374
459,151
460,152
461,156
462,538
463,309
464,143
465,957
466,166
467,273
468,496
469,263
470,598
471,408
472,105
473,275
474,363
475,280
476,154
477,153
478,388
479,443
480,388
481,352
482,101
483,436
484,240
485,214
486,430
487,577
488,344
489,780
490,175
491,202
492,350
493,187
494,145
495,368
496,659
497,223
498,481
499,291
500,1000
501,340
502,224
503,222
504,213
505,195
506,546
507,124
508,547
509,131
510,323
511,1000
512,139
513,352
514,127
515,180
516,382
517,284
518,1000
519,112
520,119
521,135
522,218
523,907
524,221
525,164
526,266
527,206
528,166
529,373
530,149
531,282
532,320
533,174
534,200
535,248
536,471
537,103
538,198
539,340
540,340
541,225
542,290
543,274
544,334
545,1000
546,463
547,140
548,399
549,888
550,497
551,578
552,243
553,194
554,573
555,381
556,221
557,237
558,133
559,381
560,278
561,202
562,561
563,413
564,132
565,852
566,233
567,168
568,146
569,372
570,114
571,105
572,199
573,104
574,689
575,228
576,401
577,248
578,178
579,409
580,129
581,176
582,444
583,401
584,336
585,1000
586,121
587,266
588,158
589,150
590,160
591,189
592,1000
593,168
594,308
595,237
596,191
597,1000
598,151
599,189
600,178
601,157
602,143
603,621
604,437
605,188
606,281
607,375
608,178
609,288
610,596
611,103
612,211
613,274
614,155
615,258
616,340
617,467
618,154
619,318
620,225
621,561
622,565
623,142
624,556
625,208
626,531
627,362
628,197
629,131
630,215
631,257
632,1000
633,100
634,244
635,219
636,675
637,770
638,205
639,201
640,356
641,175
642,151
643,192
644,349
645,186
646,234
647,858
648,220
649,193
650,260
651,201
652,377
653,150
654,1000
655,163
656,369
657,430
658,554
659,133
660,357
661,298
662,318
663,221
664,429
665,168
666,201
667,168
668,244
669,259
670,238
671,1000
672,104
673,135
674,263
675,194
676,195
677,262
678,1000
679,457
680,309
681,558
682,227
683,550
684,209
685,833
