,0
0,820
1,877
2,782
3,807
4,731
5,817
6,1000
7,1000
8,918
9,819
10,758
11,857
12,1000
13,1000
14,869
15,985
16,950
17,1000
18,1000
19,840
20,714
21,1000
22,983
23,683
24,837
25,745
26,955
27,1000
28,877
29,886
30,883
31,810
32,820
33,907
34,809
35,862
36,905
37,934
38,767
39,1000
40,950
41,1000
42,784
43,791
44,863
45,977
46,1000
47,1000
48,763
49,779
50,1000
51,770
52,876
53,1000
54,761
55,1000
56,896
57,894
58,952
59,741
60,792
61,900
62,868
63,984
64,751
65,907
66,857
67,887
68,1000
69,907
70,702
71,695
72,766
73,873
74,774
75,893
76,833
77,858
78,793
79,1000
80,900
81,1000
82,907
83,949
84,853
85,868
86,901
87,845
88,783
89,839
90,780
91,805
92,1000
93,758
94,703
95,868
96,780
97,949
98,884
99,841
100,716
101,770
102,884
103,865
104,829
105,1000
106,1000
107,757
108,1000
109,789
110,818
111,1000
112,762
113,828
114,732
115,904
116,944
117,901
118,738
119,808
120,911
121,827
122,830
123,832
124,1000
125,706
126,792
127,881
128,769
129,731
130,790
131,904
132,928
133,751
134,1000
135,817
136,860
137,837
138,823
139,939
140,963
141,1000
142,686
143,821
144,709
145,1000
146,998
147,819
148,858
149,1000
150,874
151,809
152,637
153,677
154,734
155,858
156,946
157,737
158,944
159,725
160,942
161,734
162,1000
163,936
164,903
165,1000
166,909
167,795
168,1000
169,907
170,903
171,932
172,747
173,776
174,737
175,859
176,906
177,793
178,808
179,862
180,755
181,1000
182,858
183,873
184,893
185,849
186,867
187,795
188,1000
189,1000
190,964
191,930
192,846
193,875
194,751
195,1000
196,917
197,961
198,1000
199,845
200,747
201,1000
202,893
203,777
204,759
205,945
206,870
207,853
208,782
209,801
210,1000
211,874
212,722
213,779
214,950
215,908
216,791
217,903
218,747
219,839
220,790
221,836
222,873
223,1000
224,864
225,727
226,809
227,1000
228,923
229,943
230,922
231,1000
232,903
233,780
234,784
235,713
236,880
237,941
238,1000
239,877
240,816
241,826
242,1000
243,1000
244,836
245,933
246,931
247,851
248,722
249,739
250,956
251,807
252,902
253,770
254,731
255,818
256,741
257,939
258,874
259,768
260,869
261,745
262,887
263,861
264,960
265,762
266,897
267,810
268,758
269,913
270,892
271,765
272,957
273,966
274,728
275,711
276,979
277,858
278,897
279,921
280,705
281,765
282,819
283,925
284,914
285,1000
286,836
287,850
288,827
289,785
290,862
291,727
292,879
293,869
294,726
295,922
296,777
297,827
298,919
299,888
300,808
301,746
302,779
303,1000
304,876
305,793
306,792
307,745
308,773
309,848
310,893
311,1000
312,791
313,788
314,798
315,1000
316,923
317,881
318,1000
319,842
320,848
321,895
322,800
323,786
324,805
325,933
326,793
327,883
328,782
329,875
330,841
331,1000
332,850
333,851
334,1000
335,866
336,803
337,908
338,1000
339,879
340,929
341,1000
342,983
343,695
344,717
345,1000
346,978
347,1000
348,802
349,895
350,865
351,840
352,716
353,844
354,783
355,704
356,1000
357,736
358,867
359,923
360,944
361,988
362,884
363,739
364,843
365,787
366,742
367,1000
368,760
369,746
370,736
371,851
372,817
373,796
374,1000
375,917
376,831
377,1000
378,904
379,1000
380,734
381,829
382,843
383,914
