,0
0,295
1,235
2,327
3,611
4,1000
5,1000
6,828
7,1000
8,228
9,867
10,1000
11,1000
12,113
13,265
14,1000
15,727
16,151
17,1000
18,509
19,336
20,352
21,1000
22,1000
23,412
24,455
25,582
26,601
27,1000
28,887
29,1000
30,247
31,196
32,1000
33,1000
34,222
35,409
36,403
37,518
38,203
39,281
40,366
41,146
42,202
43,214
44,787
45,452
46,1000
47,229
48,332
49,284
50,980
51,115
52,646
53,363
54,513
55,241
56,236
57,240
58,1000
59,905
60,1000
61,582
62,1000
63,273
64,1000
65,346
66,139
67,1000
68,561
69,212
70,566
71,355
72,377
73,586
74,441
75,263
76,519
77,1000
78,154
79,196
80,327
81,1000
82,1000
83,306
84,712
85,507
86,191
87,872
88,840
89,933
90,172
91,823
92,342
93,312
94,788
95,1000
96,1000
97,1000
98,348
99,423
100,442
101,298
102,761
103,195
104,349
105,479
106,491
107,263
108,855
109,215
110,271
111,737
112,402
113,1000
114,173
115,606
116,241
117,1000
118,640
119,587
120,332
121,359
122,187
123,483
124,1000
125,485
126,630
127,568
128,1000
129,333
130,259
131,584
132,555
133,813
134,1000
135,669
136,512
137,683
138,180
139,1000
140,342
141,1000
142,583
143,329
144,406
145,1000
146,486
147,247
148,321
149,678
150,958
151,532
152,186
153,1000
154,1000
155,253
156,797
157,532
158,551
159,641
160,1000
161,234
162,539
163,570
164,235
165,535
166,316
167,498
168,1000
169,379
170,870
171,297
172,354
173,566
174,324
175,407
176,510
177,186
178,1000
179,1000
180,744
181,510
182,1000
183,168
184,1000
185,1000
186,399
187,168
188,764
189,184
190,161
191,241
192,451
193,732
194,1000
195,1000
196,226
197,824
198,1000
199,343
200,1000
201,305
202,1000
203,1000
204,405
205,239
206,669
207,301
208,1000
209,272
210,209
211,211
212,625
213,341
214,569
215,155
216,1000
217,260
218,845
219,438
220,1000
221,166
222,283
223,222
224,542
225,1000
226,1000
227,437
228,376
229,322
230,546
231,1000
232,483
233,390
234,1000
235,1000
236,716
237,675
238,257
239,189
240,730
241,1000
242,297
243,187
244,544
245,103
246,709
247,582
248,390
249,441
250,1000
251,1000
252,733
253,1000
254,174
255,392
256,378
257,189
258,1000
259,842
260,408
261,193
262,248
263,202
264,230
265,1000
266,552
267,470
268,1000
269,315
270,1000
271,576
272,205
273,418
274,183
275,1000
276,871
277,456
278,255
279,1000
280,344
281,946
282,1000
283,580
284,892
285,407
286,259
287,484
288,269
289,302
290,390
291,695
292,758
293,1000
294,1000
295,212
296,711
297,221
298,1000
299,862
300,983
301,181
302,1000
303,250
304,544
305,1000
306,286
307,1000
308,377
309,935
310,193
311,116
312,1000
313,368
314,1000
315,963
316,215
317,318
318,1000
319,1000
320,1000
321,580
322,256
323,338
324,645
325,1000
326,510
327,239
328,821
329,528
330,463
331,930
332,937
333,1000
334,488
335,917
336,554
337,638
338,234
339,221
340,1000
341,223
342,322
343,1000
344,1000
345,605
346,1000
347,260
348,517
